word,utility_score,category
océan,0,nom
odeur,0,nom
oignon,0,nom
olive,0,nom
ombre,0,nom
omelette,0,nom
onde,0,nom
onglet,0,nom
opération,0,nom
orbite,0,nom
ordonnance,0,nom
oreiller,0,nom
ouest,0,nom
ours,0,nom
outil-numérique,0,nom
ovaire,0,nom
palette,0,nom
palmier,0,nom
pantalon,0,nom
papillon,0,nom
paragraphe,0,nom
paramètre,0,nom
parc,0,nom
parce,0,grammaire
pardon,0,grammaire
parfois,0,grammaire
parfum,0,nom
parking,0,nom
part,0,nom
partage,0,nom
particule,0,nom
partiel,0,adjectif
passager,0,nom
passerelle,0,nom
passeur,0,nom
pastèque,0,nom
patience,0,nom
pauvre,0,adjectif
paysage,0,nom
paysage-image,0,nom
pente,0,nom
peser,0,verbe
phare,0,nom
pharmacie,0,nom
photographie,0,nom
piano,0,nom
pin,0,nom
piste,0,nom
piste-cyclable,0,nom
placard,0,nom
place-assise,0,nom
plafond,0,nom
plage,0,nom
plaie,0,nom
planète,0,nom
plastique,0,nom
plateau,0,nom
pleurer,0,verbe
plume,0,nom
poire,0,nom
pois,0,nom
poivron,0,nom
police,0,nom
pomme,0,nom
pomme-de-terre,0,nom
port-bagage,0,nom
portable,0,nom
portail,0,nom
portrait,0,nom
positif,0,adjectif
poubelle,0,nom
poule,0,nom
poumon,0,nom
pourquoi,0,grammaire
poussière,0,nom
poème,0,nom
poêle,0,nom
prairie-fleurie,0,nom
printemps,0,nom
prise,0,nom
prise-de-note,0,nom
privé,0,adjectif
probable,0,adjectif
procès,0,nom
procédure,0,nom
profil,0,nom
profil-public,0,nom
profondeur,0,nom
progrès,0,nom
projection,0,nom
proportion,0,nom
préférence,0,nom
présence,0,nom
préservatif,0,nom
prévention,0,nom
psychologue,0,nom
publication,0,nom
puis,0,grammaire
pâte,0,nom
pâtisserie,0,nom
péage,0,nom
pénis,0,nom
quai,0,nom
quart,0,nom
queue,0,nom
quoi,0,grammaire
racine,0,nom
radio,0,nom
raisin,0,nom
rame,0,nom
rang,0,nom
rangement,0,nom
rare,0,adjectif
rayon,0,nom
recherche-web,0,nom
refrain,0,nom
rein,0,nom
remboursement,0,nom
remorque,0,nom
remplir,0,verbe
renard,0,nom
requin,0,nom
respect,0,nom
respiration,0,nom
responsabilité,0,nom
ressemblance,0,nom
reste,0,nom
retard,0,nom
retour,0,nom
retour-voyage,0,nom
retraite,0,nom
riche,0,adjectif
rideau,0,nom
rire,0,verbe
rivage,0,nom
rive,0,nom
riz,0,nom
robinet,0,nom
roman,0,nom
roseau,0,nom
rotation,0,nom
routine,0,nom
ruche,0,nom
règles,0,nom
réaction,0,nom
récit,0,nom
réel,0,adjectif
réglage,0,nom
réseau,0,nom
réservation,0,nom
réserve,0,nom
révolution,0,nom
rêve,0,nom
sa,0,grammaire
sac,0,nom
saignement,0,nom
salade,0,nom
salaire,0,nom
salle,0,nom
salon,0,nom
salé,0,adjectif
sanction,0,nom
sandwich,0,nom
sapin,0,nom
satellite,0,nom
sauce,0,nom
saumon,0,nom
savane,0,nom
savon,0,nom
scarabée,0,nom
sculpture,0,nom
secondaire,0,adjectif
seconde,0,nom
secours,0,nom
selon,0,grammaire
sembler,0,verbe
septembre,0,nom
serpent,0,nom
serviette,0,nom
serviette-bain,0,nom
servir,0,verbe
ses,0,grammaire
seul,0,adjectif
sexualité,0,nom
signal-science,0,nom
signalement,0,nom
signalisation,0,nom
signature,0,nom
signifier,0,verbe
silence,0,nom
singe,0,nom
sirop,0,nom
social,0,adjectif
soif,0,nom
soir,0,nom
soixante,0,nom
soleil-système,0,nom
solution,0,nom
somme,0,nom
sommet,0,nom
sortie,0,nom
souffrance,0,nom
soulagement,0,nom
soupe,0,nom
source,0,nom
souris,0,nom
souris-animal,0,nom
soustraire,0,verbe
soutien,0,nom
souvenir,0,nom
spectre,0,nom
station,0,nom
stationnement,0,nom
stress,0,nom
succès,0,nom
sud,0,nom
surdose,0,nom
surprise,0,nom
surveiller,0,verbe
symptôme,0,nom
synchronisation,0,nom
sécurité-numérique,0,nom
ta,0,grammaire
tableau,0,nom
tambour,0,nom
tanière,0,nom
tapis,0,nom
tasse,0,nom
taupe,0,nom
taureau,0,nom
taux,0,nom
taxe,0,nom
taxi,0,nom
te,0,grammaire
tempête,0,nom
tempête-solaire,0,nom
tentacule,0,nom
terminal,0,nom
terre-ferme,0,nom
tes,0,grammaire
test,0,nom
testicule,0,nom
texture,0,nom
thermique,0,nom
thermomètre,0,nom
thon,0,nom
théorie,0,nom
thérapie,0,nom
théâtre,0,nom
ticket,0,nom
tiers,0,nom
tigre,0,nom
toi,0,grammaire
toile,0,nom
toilette,0,nom
toit,0,nom
tomate,0,nom
ton,0,grammaire
tonnerre,0,nom
torrent,0,nom
total,0,nom
tourisme,0,nom
touriste,0,nom
toux,0,nom
tronc,0,nom
trottoir,0,nom
truite,0,nom
typographie,0,nom
tâche,0,nom
télescope,0,nom
témoin,0,nom
univers,0,nom
urgence,0,nom
urgence-domestique,0,nom
utérus,0,nom
vacciner,0,verbe
vache,0,nom
vagin,0,nom
vague,0,nom
valise,0,nom
vallon,0,nom
vallée,0,nom
vapeur,0,nom
veille,0,nom
vente,0,nom
ver,0,nom
verre,0,nom
verre-matière,0,nom
verser,0,verbe
victime,0,nom
vide,0,adjectif
vidéo,0,nom
vieux,0,adjectif
vigne,0,nom
vin,0,nom
vinaigre,0,nom
violet,0,adjectif
violon,0,nom
virage,0,nom
visa,0,nom
visite,0,nom
vitesse,0,nom
voile,0,nom
voisin,0,nom
voisine,0,nom
volcan,0,nom
volume,0,nom
vos,0,grammaire
votre,0,grammaire
vérité,0,nom
wagon,0,nom
week-end,0,nom
y,0,grammaire
yaourt,0,nom
zèbre,0,nom
zéro,0,nom
âge,0,nom
âne,0,nom
échantillon,0,nom
échec,0,nom
école,0,nom
écorce,0,nom
écosystème,0,nom
écureuil,0,nom
édition,0,nom
égal,0,adjectif
éléphant,0,nom
énergie,0,nom
épargne,0,nom
épice,0,nom
épicé,0,adjectif
éplucher,0,verbe
équipage,0,nom
étage,0,nom
étagère,0,nom
étroit,0,adjectif
évaporation,0,nom
ôter,0,verbe
